Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2013-06-28;730183;5132540,00;0;15000000,00;0;219135,40;1;26561,80;2;4360,90;63;224,40;118;118,90;168;62,80;2799;19,00;3188;15,60;6343;13,70;15564;10,10;50115;8,10;98658;4,40
2013-06-25;869880;7292790,00;1;93968807,00;1;365235,30;2;48698,00;2;5662,50;162;174,70;259;86,60;341;61,60;4113;19,50;6340;12,80;12691;10,40;20302;11,10;85968;7,40;172591;3,60
2013-06-21;1142415;9436522,00;0;0,00;0;409039,10;1;60598,30;7;4869,50;172;228,10;336;112,40;278;72,00;4487;21,50;6311;15,50;12916;12,70;24834;11,50;95360;8,20;190525;4,10
2013-06-18;697878;5624554,00;0;0,00;0;176075,60;3;36333,00;1;4238,80;134;197,80;336;77,80;173;68,80;2782;21,90;4156;16,00;11311;10,80;14998;11,80;54076;9,20;137385;3,90
2013-06-14;1022951;8168588,00;0;0,00;0;462356,20;0;115589,00;13;5254,00;100;297,20;186;138,20;215;84,10;3629;25,40;4347;19,10;9347;15,00;20408;13,00;69117;9,80;155219;4,50
2013-06-11;675263;5312320,00;0;0,00;0;386665,10;3;33917,90;3;3464,70;138;151,60;193;89,70;237;45,00;3452;16,10;5261;10,60;8941;10,70;17651;9,70;66738;6,80;120682;3,80
2013-06-07;1146861;9745598,00;0;0,00;0;570665,50;1;55947,60;9;3302,40;132;215,80;244;116,40;518;48,40;7383;14,90;7030;14,00;12769;13,20;39515;8,10;111754;7,40;199183;4,30
2013-06-04;424735;2771606,00;0;0,00;0;273475,00;3;40514,80;2;7012,10;36;272,20;98;122,00;79;82,50;1475;23,20;1589;19,80;3339;16,20;9019;10,90;24675;10,00;52630;4,80
2013-05-31;719506;5031796,00;0;0,00;0;1779901,60;1;59330,00;4;4944,10;87;267,30;144;132,00;201;75,90;2845;23,40;4090;16,40;7793;13,40;14543;11,90;55731;8,60;111667;4,30
2013-05-28;511709;3735012,00;0;95372874,00;0;298372,80;1;62161,00;5;5405,30;76;191,80;167;88,10;114;74,00;1661;25,10;3021;14,10;6438;11,10;8716;13,30;40610;8,10;89578;3,80
2013-05-24;783057;5806244,00;0;0,00;1;114335,00;1;36105,80;3;3235,80;165;110,00;274;74,60;294;53,70;3403;19,10;6855;9,60;11110;9,60;17346;10,70;84062;6,40;134575;3,80
2013-05-21;423470;2977670,00;0;0,00;1;182069,90;1;84965,90;7;2189,80;78;141,70;148;79,90;268;35,80;3147;12,30;3675;10,40;6153;10,00;13226;7,40;45249;6,30;77152;3,70
2013-05-17;744512;5415040,00;0;0,00;0;203260,50;2;60978,10;1;6775,30;84;255,20;168;113,10;141;86,30;2074;26,80;3209;16,70;7168;12,50;11104;14,40;50246;8,80;116372;4,00
2013-05-14;445370;3032460,00;0;0,00;0;394615,10;0;131538,30;2;5059,10;52;201,90;115;98,10;142;69,10;1868;21,70;2611;13,70;5546;10,70;9051;11,90;36746;7,60;76084;3,60
2013-05-10;676918;4826774,00;0;0,00;0;0,00;0;360153,80;2;7300,40;61;301,80;100;138,00;109;99,90;1826;30,10;2485;20,10;5419;15,50;10307;15,20;38505;10,50;88509;4,70
2013-05-07;421143;2763666,00;0;0,00;0;349861,00;2;31805,50;1;5831,00;43;218,60;136;102,20;145;50,80;2224;16,10;2462;14,10;5431;11,40;10570;8,90;33101;7,90;70159;3,80
2013-05-03;667958;4686140,00;0;0,00;0;516026,50;1;64503,30;3;7818,50;64;255,30;101;147,30;131;81,80;2305;22,60;3189;15,80;5106;15,50;12865;11,50;54868;7,60;87659;4,60
2013-04-30;409617;2636426,00;0;0,00;1;1007618,80;2;41984,10;4;4664,90;53;230,60;96;137,30;139;60,70;1976;16,60;1861;16,50;3407;15,50;10962;8,20;28119;8,40;49521;4,80
2013-04-26;709984;5007290,00;0;32469030,00;0;321778,80;1;67037,20;9;2394,10;107;169,20;158;106,50;294;43,90;4403;14,40;4188;13,00;6678;13,00;23914;7,70;60441;7,20;99616;4,40
2013-04-23;392189;2531240,00;0;0,00;0;144494,20;1;33715,30;6;4322,40;70;110,90;155;55,50;80;70,80;1221;24,40;2376;11,00;5531;8,40;5999;14,10;28525;7,50;67401;3,30
